Date,Adj Close
2020-01-02,93.96
2020-01-03,93.63
2020-01-06,93.31
2020-01-07,92.12
2020-01-08,91.07
2020-01-09,90.92
2020-01-10,90.09
2020-01-13,90.26
2020-01-14,89.99
2020-01-15,89.85
2020-01-16,90.44
2020-01-17,89.43
2020-01-21,87.67
2020-01-22,87.36
2020-01-23,87.51
2020-01-24,86.54
2020-01-27,85.41
2020-01-28,85.98
2020-01-29,85.4
2020-01-30,86.19
2020-01-31,82.9
2020-02-03,82.23
2020-02-04,82.67
2020-02-05,85.33
2020-02-06,84.72
2020-02-07,84.29
2020-02-10,84.95
2020-02-11,86.05
2020-02-12,86.69
2020-02-13,86.4
2020-02-14,86.17
2020-02-18,86.29
2020-02-19,86.69
2020-02-20,85.96
2020-02-21,85.33
2020-02-24,81.97
2020-02-25,78.83
2020-02-26,76.74
2020-02-27,73.68
2020-02-28,73.07
2020-03-02,75.61
2020-03-03,73.89
2020-03-04,77.13
2020-03-05,76.08
2020-03-06,74.62
2020-03-09,63.15
2020-03-10,66.52
2020-03-11,64.99
2020-03-12,59.7
2020-03-13,65.3
2020-03-16,54.56
2020-03-17,55.34
2020-03-18,43.09
2020-03-19,44.92
2020-03-20,46.49
2020-03-23,42.44
2020-03-24,52.09
2020-03-25,54.22
2020-03-26,59.79
2020-03-27,53.84
2020-03-30,56.32
2020-03-31,56.72
2020-04-01,53.67
2020-04-02,59.59
2020-04-03,58.8
2020-04-06,62.93
2020-04-07,63.34
2020-04-08,67.3
2020-04-09,66.0
2020-04-13,66.47
2020-04-14,66.23
2020-04-15,64.57
2020-04-16,62.62
2020-04-17,68.24
2020-04-20,65.42
2020-04-21,63.91
2020-04-22,66.1
2020-04-23,67.95
2020-04-24,68.11
2020-04-27,70.22
2020-04-28,70.38
2020-04-29,74.07
2020-04-30,72.02
2020-05-01,70.01
2020-05-04,71.58
2020-05-05,72.71
2020-05-06,70.49
2020-05-07,72.52
2020-05-08,74.73
2020-05-11,73.09
2020-05-12,71.31
2020-05-13,69.43
2020-05-14,70.49
2020-05-15,69.79
2020-05-18,73.51
2020-05-19,71.18
2020-05-20,73.87
2020-05-21,73.11
2020-05-22,71.71
2020-05-26,74.11
2020-05-27,74.58
2020-05-28,72.18
2020-05-29,72.84
2020-06-01,73.7
2020-06-02,75.21
2020-06-03,77.19
2020-06-04,76.47
2020-06-05,80.07
2020-06-08,82.0
2020-06-09,80.64
2020-06-10,77.51
2020-06-11,70.98
2020-06-12,73.38
2020-06-15,72.46
2020-06-16,74.69
2020-06-17,72.71
2020-06-18,73.03
2020-06-19,71.99
2020-06-22,72.75
2020-06-23,72.63
2020-06-24,69.61
2020-06-25,70.86
2020-06-26,68.67
2020-06-29,69.63
2020-06-30,70.87
2020-07-01,69.59
2020-07-02,70.14
2020-07-06,70.35
2020-07-07,68.55
2020-07-08,68.59
2020-07-09,65.72
2020-07-10,67.7
2020-07-13,67.83
2020-07-14,70.17
2020-07-15,70.6
2020-07-16,70.18
2020-07-17,69.25
2020-07-20,67.73
2020-07-21,72.59
2020-07-22,72.31
2020-07-23,72.29
2020-07-24,71.59
2020-07-27,72.31
2020-07-28,70.78
2020-07-29,71.54
2020-07-30,68.52
2020-07-31,66.67
2020-08-03,67.36
2020-08-04,68.7
2020-08-05,69.26
2020-08-06,69.48
2020-08-07,68.94
2020-08-10,71.27
2020-08-11,71.18
2020-08-12,72.06
2020-08-13,71.34
2020-08-14,71.76
2020-08-17,72.1
2020-08-18,70.61
2020-08-19,69.61
2020-08-20,68.33
2020-08-21,68.55
2020-08-24,70.26
2020-08-25,69.4
2020-08-26,68.31
2020-08-27,68.41
2020-08-28,68.99
2020-08-31,67.62
2020-09-01,66.94
2020-09-02,67.03
2020-09-03,66.3
2020-09-04,66.01
2020-09-08,63.63
2020-09-09,64.48
2020-09-10,62.97
2020-09-11,62.6
2020-09-14,62.27
2020-09-15,61.52
2020-09-16,63.3
